# created 09/29/25
# Custom high-speed powertrain mapping file
# generated by PowertrainMapper Custom Example using PowertrainMapper
# NOTE: this powertrain is for example/testing purposes only

Mach_Number, Altitude (ft),   Throttle, Gross_Thrust (lbf), Ram_Drag (lbf), Fuel_Flow (lb/h), NOx_Rate (lb/h), Electric_Power (kW)
      0.0,         0.0,     10.0,          2800.0,           0.0,         253.0,      0.6000,          30.000
      0.0,         0.0,     20.0,          5600.0,           0.0,         715.5,      2.4000,          60.000
      0.0,         0.0,     30.0,          8400.0,           0.0,        1314.5,      5.4000,          90.000
      0.0,         0.0,     40.0,         11200.0,           0.0,        2023.9,      9.6000,         120.000
      0.0,         0.0,     50.0,         14000.0,           0.0,        2828.4,     15.0000,         150.000
      0.0,         0.0,     60.0,         16800.0,           0.0,        3718.1,     21.6000,         180.000
      0.0,         0.0,     70.0,         19600.0,           0.0,        4685.3,     29.4000,         210.000
      0.0,         0.0,     80.0,         22400.0,           0.0,        5724.3,     38.4000,         240.000
      0.0,         0.0,     90.0,         25200.0,           0.0,        6830.5,     48.6000,         270.000
      0.0,         0.0,    100.0,         28000.0,           0.0,        8000.0,     60.0000,         300.000
      0.0,      5000.0,     10.0,          2729.1,           0.0,         278.3,      0.6750,          31.500
      0.0,      5000.0,     20.0,          5458.2,           0.0,         787.1,      2.7000,          63.000
      0.0,      5000.0,     30.0,          8187.3,           0.0,        1446.0,      6.0750,          94.500
      0.0,      5000.0,     40.0,         10916.4,           0.0,        2226.2,     10.8000,         126.000
      0.0,      5000.0,     50.0,         13645.5,           0.0,        3111.3,     16.8750,         157.500
      0.0,      5000.0,     60.0,         16374.6,           0.0,        4089.9,     24.3000,         189.000
      0.0,      5000.0,     70.0,         19103.7,           0.0,        5153.8,     33.0750,         220.500
      0.0,      5000.0,     80.0,         21832.8,           0.0,        6296.8,     43.2000,         252.000
      0.0,      5000.0,     90.0,         24561.9,           0.0,        7513.6,     54.6750,         283.500
      0.0,      5000.0,    100.0,         27291.0,           0.0,        8800.0,     67.5000,         315.000
      0.0,     15000.0,     10.0,          2581.5,           0.0,         328.9,      0.8250,          34.500
      0.0,     15000.0,     20.0,          5162.9,           0.0,         930.2,      3.3000,          69.000
      0.0,     15000.0,     30.0,          7744.4,           0.0,        1708.9,      7.4250,         103.500
      0.0,     15000.0,     40.0,         10325.9,           0.0,        2631.0,     13.2000,         138.000
      0.0,     15000.0,     50.0,         12907.4,           0.0,        3677.0,     20.6250,         172.500
      0.0,     15000.0,     60.0,         15488.8,           0.0,        4833.5,     29.7000,         207.000
      0.0,     15000.0,     70.0,         18070.3,           0.0,        6090.9,     40.4250,         241.500
      0.0,     15000.0,     80.0,         20651.8,           0.0,        7441.6,     52.8000,         276.000
      0.0,     15000.0,     90.0,         23233.3,           0.0,        8879.7,     66.8250,         310.500
      0.0,     15000.0,    100.0,         25814.7,           0.0,       10400.0,     82.5000,         345.000
      0.0,     25000.0,     10.0,          2424.9,           0.0,         379.5,      0.9750,          37.500
      0.0,     25000.0,     20.0,          4849.7,           0.0,        1073.3,      3.9000,          75.000
      0.0,     25000.0,     30.0,          7274.6,           0.0,        1971.8,      8.7750,         112.500
      0.0,     25000.0,     40.0,          9699.5,           0.0,        3035.8,     15.6000,         150.000
      0.0,     25000.0,     50.0,         12124.4,           0.0,        4242.6,     24.3750,         187.500
      0.0,     25000.0,     60.0,         14549.2,           0.0,        5577.1,     35.1000,         225.000
      0.0,     25000.0,     70.0,         16974.1,           0.0,        7027.9,     47.7750,         262.500
      0.0,     25000.0,     80.0,         19399.0,           0.0,        8586.5,     62.4000,         300.000
      0.0,     25000.0,     90.0,         21823.8,           0.0,       10245.8,     78.9750,         337.500
      0.0,     25000.0,    100.0,         24248.7,           0.0,       12000.0,     97.5000,         375.000
      0.0,     35000.0,     10.0,          2257.4,           0.0,         430.1,      1.1250,          40.500
      0.0,     35000.0,     20.0,          4514.9,           0.0,        1216.4,      4.5000,          81.000
      0.0,     35000.0,     30.0,          6772.3,           0.0,        2234.7,     10.1250,         121.500
      0.0,     35000.0,     40.0,          9029.7,           0.0,        3440.6,     18.0000,         162.000
