# created 09/29/25
# Dummy powertrain mapping file for testing PowertrainMapper
# generated by PowertrainMapper Test using PowertrainMapper
# NOTE: this powertrain is for example/testing purposes only

Mach_Number, Altitude (ft),   Throttle, Gross_Thrust (lbf), Ram_Drag (lbf), Fuel_Flow (lb/h), NOx_Rate (lb/h), Electric_Power (kW)
      0.0,         0.0,     21.0,         11500.0,         210.0,        1150.0,      2.1000,         115.000
      0.0,         0.0,     22.0,         12000.0,         220.0,        1200.0,      2.2000,         120.000
      0.0,         0.0,     24.0,         13000.0,         240.0,        1300.0,      2.4000,         130.000
      0.0,         0.0,     26.0,         14000.0,         260.0,        1400.0,      2.6000,         140.000
      0.0,         0.0,     30.0,         16000.0,         300.0,        1600.0,      3.0000,         160.000
      0.0,         0.0,     34.0,         18000.0,         340.0,        1800.0,      3.4000,         180.000
      0.0,         0.0,     38.0,         20000.0,         380.0,        2000.0,      3.8000,         200.000
      0.0,         0.0,     42.0,         22000.0,         420.0,        2200.0,      4.2000,         220.000
      0.0,         0.0,     46.0,         24000.0,         460.0,        2400.0,      4.6000,         240.000
      0.0,         0.0,     48.0,         25000.0,         480.0,        2500.0,      4.8000,         250.000
      0.0,         0.0,     50.0,         26000.0,         500.0,        2600.0,      5.0000,         260.000
      0.0,      2000.0,     21.0,         11270.0,         210.0,        1196.0,      2.1000,         113.850
      0.0,      2000.0,     22.0,         11760.0,         220.0,        1248.0,      2.2000,         118.800
      0.0,      2000.0,     24.0,         12740.0,         240.0,        1352.0,      2.4000,         128.700
      0.0,      2000.0,     26.0,         13720.0,         260.0,        1456.0,      2.6000,         138.600
      0.0,      2000.0,     30.0,         15680.0,         300.0,        1664.0,      3.0000,         158.400
      0.0,      2000.0,     34.0,         17640.0,         340.0,        1872.0,      3.4000,         178.200
      0.0,      2000.0,     38.0,         19600.0,         380.0,        2080.0,      3.8000,         198.000
      0.0,      2000.0,     42.0,         21560.0,         420.0,        2288.0,      4.2000,         217.800
      0.0,      2000.0,     46.0,         23520.0,         460.0,        2496.0,      4.6000,         237.600
      0.0,      2000.0,     48.0,         24500.0,         480.0,        2600.0,      4.8000,         247.500
      0.0,      2000.0,     50.0,         25480.0,         500.0,        2704.0,      5.0000,         257.400
      0.0,     10000.0,     21.0,         10350.0,         210.0,        1380.0,      2.1000,         109.250
      0.0,     10000.0,     22.0,         10800.0,         220.0,        1440.0,      2.2000,         114.000
      0.0,     10000.0,     24.0,         11700.0,         240.0,        1560.0,      2.4000,         123.500
      0.0,     10000.0,     26.0,         12600.0,         260.0,        1680.0,      2.6000,         133.000
      0.0,     10000.0,     30.0,         14400.0,         300.0,        1920.0,      3.0000,         152.000
      0.0,     10000.0,     34.0,         16200.0,         340.0,        2160.0,      3.4000,         171.000
      0.0,     10000.0,     38.0,         18000.0,         380.0,        2400.0,      3.8000,         190.000
      0.0,     10000.0,     42.0,         19800.0,         420.0,        2640.0,      4.2000,         209.000
      0.0,     10000.0,     46.0,         21600.0,         460.0,        2880.0,      4.6000,         228.000
      0.0,     10000.0,     48.0,         22500.0,         480.0,        3000.0,      4.8000,         237.500
      0.0,     10000.0,     50.0,         23400.0,         500.0,        3120.0,      5.0000,         247.000
      0.0,     20000.0,     21.0,          9200.0,         210.0,        1610.0,      2.1000,         103.500
      0.0,     20000.0,     22.0,          9600.0,         220.0,        1680.0,      2.2000,         108.000
      0.0,     20000.0,     24.0,         10400.0,         240.0,        1820.0,      2.4000,         117.000
      0.0,     20000.0,     26.0,         11200.0,         260.0,        1960.0,      2.6000,         126.000
      0.0,     20000.0,     30.0,         12800.0,         300.0,        2240.0,      3.0000,         144.000
      0.0,     20000.0,     34.0,         14400.0,         340.0,        2520.0,      3.4000,         162.000
      0.0,     20000.0,     38.0,         16000.0,         380.0,        2800.0,      3.8000,         180.000
      0.0,     20000.0,     42.0,         17600.0,         420.0,        3080.0,      4.2000,         198.000
      0.0,     20000.0,     46.0,         19200.0,         460.0,        3360.0,      4.6000,         216.000
      0.0,     20000.0,     48.0,         20000.0,         480.0,        3500.0,      4.8000,         225.000
      0.0,     20000.0,     50.0,         20800.0,         500.0,        3640.0,      5.0000,         234.000
      0.0,     30000.0,     21.0,          8050.0,         210.0,        1840.0,      2.1000,          97.750
      0.0,     30000.0,     22.0,          8400.0,         220.0,        1920.0,      2.2000,         102.000
      0.0,     30000.0,     24.0,          9100.0,         240.0,        2080.0,      2.4000,         110.500
      0.0,     30000.0,     26.0,          9800.0,         260.0,        2240.0,      2.6000,         119.000
      0.0,     30000.0,     30.0,         11200.0,         300.0,        2560.0,      3.0000,         136.000
      0.0,     30000.0,     34.0,         12600.0,         340.0,        2880.0,      3.4000,         153.000
      0.0,     30000.0,     38.0,         14000.0,         380.0,        3200.0,      3.8000,         170.000
      0.0,     30000.0,     42.0,         15400.0,         420.0,        3520.0,      4.2000,         187.000
      0.0,     30000.0,     46.0,         16800.0,         460.0,        3840.0,      4.6000,         204.000
      0.0,     30000.0,     48.0,         17500.0,         480.0,        4000.0,      4.8000,         212.500
      0.0,     30000.0,     50.0,         18200.0,         500.0,        4160.0,      5.0000,         221.000
      0.0,     37000.0,     21.0,          7245.0,         210.0,        2001.0,      2.1000,          93.725
      0.0,     37000.0,     22.0,          7560.0,         220.0,        2088.0,      2.2000,          97.800
      0.0,     37000.0,     24.0,          8190.0,         240.0,        2262.0,      2.4000,         105.950
      0.0,     37000.0,     26.0,          8820.0,         260.0,        2436.0,      2.6000,         114.100
      0.0,     37000.0,     30.0,         10080.0,         300.0,        2784.0,      3.0000,         130.400
      0.0,     37000.0,     34.0,         11340.0,         340.0,        3132.0,      3.4000,         146.700
      0.0,     37000.0,     38.0,         12600.0,         380.0,        3480.0,      3.8000,         163.000
      0.0,     37000.0,     42.0,         13860.0,         420.0,        3828.0,      4.2000,         179.300
      0.0,     37000.0,     46.0,         15120.0,         460.0,        4176.0,      4.6000,         195.600
      0.0,     37000.0,     48.0,         15750.0,         480.0,        4350.0,      4.8000,         203.750
      0.0,     37000.0,     50.0,         16380.0,         500.0,        4524.0,      5.0000,         211.900
      0.0,     39000.0,     21.0,          7015.0,         210.0,        2047.0,      2.1000,          92.575
      0.0,     39000.0,     22.0,          7320.0,         220.0,        2136.0,      2.2000,          96.600
      0.0,     39000.0,     24.0,          7930.0,         240.0,        2314.0,      2.4000,         104.650
      0.0,     39000.0,     26.0,          8540.0,         260.0,        2492.0,      2.6000,         112.700
      0.0,     39000.0,     30.0,          9760.0,         300.0,        2848.0,      3.0000,         128.800
      0.0,     39000.0,     34.0,         10980.0,         340.0,        3204.0,      3.4000,         144.900
      0.0,     39000.0,     38.0,         12200.0,         380.0,        3560.0,      3.8000,         161.000
      0.0,     39000.0,     42.0,         13420.0,         420.0,        3916.0,      4.2000,         177.100
      0.0,     39000.0,     46.0,         14640.0,         460.0,        4272.0,      4.6000,         193.200
      0.0,     39000.0,     48.0,         15250.0,         480.0,        4450.0,      4.8000,         201.250
      0.0,     39000.0,     50.0,         15860.0,         500.0,        4628.0,      5.0000,         209.300
      0.3,         0.0,     21.0,         11155.0,         240.0,        1219.0,      2.1150,         118.450
      0.3,         0.0,     22.0,         11640.0,         250.0,        1272.0,      2.2150,         123.600
      0.3,         0.0,     24.0,         12610.0,         270.0,        1378.0,      2.4150,         133.900
      0.3,         0.0,     26.0,         13580.0,         290.0,        1484.0,      2.6150,         144.200
      0.3,         0.0,     30.0,         15520.0,         330.0,        1696.0,      3.0150,         164.800
      0.3,         0.0,     34.0,         17460.0,         370.0,        1908.0,      3.4150,         185.400
      0.3,         0.0,     38.0,         19400.0,         410.0,        2120.0,      3.8150,         206.000
      0.3,         0.0,     42.0,         21340.0,         450.0,        2332.0,      4.2150,         226.600
      0.3,         0.0,     46.0,         23280.0,         490.0,        2544.0,      4.6150,         247.200
      0.3,         0.0,     48.0,         24250.0,         510.0,        2650.0,      4.8150,         257.500
      0.3,         0.0,     50.0,         25220.0,         530.0,        2756.0,      5.0150,         267.800
      0.3,      2000.0,     21.0,         10931.9,         240.0,        1267.8,      2.1150,         117.266
      0.3,      2000.0,     22.0,         11407.2,         250.0,        1322.9,      2.2150,         122.364
      0.3,      2000.0,     24.0,         12357.8,         270.0,        1433.1,      2.4150,         132.561
      0.3,      2000.0,     26.0,         13308.4,         290.0,        1543.4,      2.6150,         142.758
      0.3,      2000.0,     30.0,         15209.6,         330.0,        1763.8,      3.0150,         163.152
      0.3,      2000.0,     34.0,         17110.8,         370.0,        1984.3,      3.4150,         183.546
      0.3,      2000.0,     38.0,         19012.0,         410.0,        2204.8,      3.8150,         203.940
      0.3,      2000.0,     42.0,         20913.2,         450.0,        2425.3,      4.2150,         224.334
      0.3,      2000.0,     46.0,         22814.4,         490.0,        2645.8,      4.6150,         244.728
      0.3,      2000.0,     48.0,         23765.0,         510.0,        2756.0,      4.8150,         254.925
      0.3,      2000.0,     50.0,         24715.6,         530.0,        2866.2,      5.0150,         265.122
      0.3,     10000.0,     21.0,         10039.5,         240.0,        1462.8,      2.1150,         112.528
      0.3,     10000.0,     22.0,         10476.0,         250.0,        1526.4,      2.2150,         117.420
      0.3,     10000.0,     24.0,         11349.0,         270.0,        1653.6,      2.4150,         127.205
      0.3,     10000.0,     26.0,         12222.0,         290.0,        1780.8,      2.6150,         136.990
      0.3,     10000.0,     30.0,         13968.0,         330.0,        2035.2,      3.0150,         156.560
      0.3,     10000.0,     34.0,         15714.0,         370.0,        2289.6,      3.4150,         176.130
      0.3,     10000.0,     38.0,         17460.0,         410.0,        2544.0,      3.8150,         195.700
      0.3,     10000.0,     42.0,         19206.0,         450.0,        2798.4,      4.2150,         215.270
      0.3,     10000.0,     46.0,         20952.0,         490.0,        3052.8,      4.6150,         234.840
      0.3,     10000.0,     48.0,         21825.0,         510.0,        3180.0,      4.8150,         244.625
      0.3,     10000.0,     50.0,         22698.0,         530.0,        3307.2,      5.0150,         254.410
      0.3,     20000.0,     21.0,          8924.0,         240.0,        1706.6,      2.1150,         106.605
      0.3,     20000.0,     22.0,          9312.0,         250.0,        1780.8,      2.2150,         111.240
      0.3,     20000.0,     24.0,         10088.0,         270.0,        1929.2,      2.4150,         120.510
      0.3,     20000.0,     26.0,         10864.0,         290.0,        2077.6,      2.6150,         129.780
      0.3,     20000.0,     30.0,         12416.0,         330.0,        2374.4,      3.0150,         148.320
      0.3,     20000.0,     34.0,         13968.0,         370.0,        2671.2,      3.4150,         166.860
      0.3,     20000.0,     38.0,         15520.0,         410.0,        2968.0,      3.8150,         185.400
      0.3,     20000.0,     42.0,         17072.0,         450.0,        3264.8,      4.2150,         203.940
      0.3,     20000.0,     46.0,         18624.0,         490.0,        3561.6,      4.6150,         222.480
