# created 09/29/25
# Realistic hybrid turbofan powertrain mapping file
# generated by PowertrainMapper Example using PowertrainMapper
# NOTE: this powertrain is for example/testing purposes only

Mach_Number, Altitude (ft),   Throttle, Gross_Thrust (lbf), Ram_Drag (lbf), Fuel_Flow (lb/h), NOx_Rate (lb/h), Electric_Power (kW)
      0.0,         0.0,     21.0,          5880.0,           0.0,         769.9,      2.6460,          63.000
      0.0,         0.0,     22.0,          6160.0,           0.0,         825.5,      2.9040,          66.000
      0.0,         0.0,     24.0,          6720.0,           0.0,         940.6,      3.4560,          72.000
      0.0,         0.0,     26.0,          7280.0,           0.0,        1060.6,      4.0560,          78.000
      0.0,         0.0,     30.0,          8400.0,           0.0,        1314.5,      5.4000,          90.000
      0.0,         0.0,     34.0,          9520.0,           0.0,        1586.0,      6.9360,         102.000
      0.0,         0.0,     38.0,         10640.0,           0.0,        1874.0,      8.6640,         114.000
      0.0,         0.0,     42.0,         11760.0,           0.0,        2177.5,     10.5840,         126.000
      0.0,         0.0,     46.0,         12880.0,           0.0,        2495.9,     12.6960,         138.000
      0.0,         0.0,     48.0,         13440.0,           0.0,        2660.4,     13.8240,         144.000
      0.0,         0.0,     50.0,         14000.0,           0.0,        2828.4,     15.0000,         150.000
      0.0,      2000.0,     21.0,          5820.9,           0.0,         800.7,      2.7783,          64.260
      0.0,      2000.0,     22.0,          6098.1,           0.0,         858.5,      3.0492,          67.320
      0.0,      2000.0,     24.0,          6652.5,           0.0,         978.2,      3.6288,          73.440
      0.0,      2000.0,     26.0,          7206.8,           0.0,        1103.0,      4.2588,          79.560
      0.0,      2000.0,     30.0,          8315.6,           0.0,        1367.1,      5.6700,          91.800
      0.0,      2000.0,     34.0,          9424.3,           0.0,        1649.5,      7.2828,         104.040
      0.0,      2000.0,     38.0,         10533.1,           0.0,        1948.9,      9.0972,         116.280
      0.0,      2000.0,     42.0,         11641.8,           0.0,        2264.6,     11.1132,         128.520
      0.0,      2000.0,     46.0,         12750.5,           0.0,        2595.7,     13.3308,         140.760
      0.0,      2000.0,     48.0,         13304.9,           0.0,        2766.8,     14.5152,         146.880
      0.0,      2000.0,     50.0,         13859.3,           0.0,        2941.6,     15.7500,         153.000
      0.0,     10000.0,     21.0,          5578.3,           0.0,         923.8,      3.3075,          69.300
      0.0,     10000.0,     22.0,          5843.9,           0.0,         990.6,      3.6300,          72.600
      0.0,     10000.0,     24.0,          6375.2,           0.0,        1128.7,      4.3200,          79.200
      0.0,     10000.0,     26.0,          6906.4,           0.0,        1272.7,      5.0700,          85.800
      0.0,     10000.0,     30.0,          7968.9,           0.0,        1577.4,      6.7500,          99.000
      0.0,     10000.0,     34.0,          9031.5,           0.0,        1903.2,      8.6700,         112.200
      0.0,     10000.0,     38.0,         10094.0,           0.0,        2248.8,     10.8300,         125.400
      0.0,     10000.0,     42.0,         11156.5,           0.0,        2613.0,     13.2300,         138.600
      0.0,     10000.0,     46.0,         12219.0,           0.0,        2995.1,     15.8700,         151.800
      0.0,     10000.0,     48.0,         12750.3,           0.0,        3192.5,     17.2800,         158.400
      0.0,     10000.0,     50.0,         13281.6,           0.0,        3394.1,     18.7500,         165.000
      0.0,     20000.0,     21.0,          5259.2,           0.0,        1077.8,      3.9690,          75.600
      0.0,     20000.0,     22.0,          5509.7,           0.0,        1155.7,      4.3560,          79.200
      0.0,     20000.0,     24.0,          6010.6,           0.0,        1316.8,      5.1840,          86.400
      0.0,     20000.0,     26.0,          6511.4,           0.0,        1484.8,      6.0840,          93.600
      0.0,     20000.0,     30.0,          7513.2,           0.0,        1840.3,      8.1000,         108.000
      0.0,     20000.0,     34.0,          8514.9,           0.0,        2220.4,     10.4040,         122.400
      0.0,     20000.0,     38.0,          9516.7,           0.0,        2623.6,     12.9960,         136.800
      0.0,     20000.0,     42.0,         10518.5,           0.0,        3048.5,     15.8760,         151.200
      0.0,     20000.0,     46.0,         11520.2,           0.0,        3494.3,     19.0440,         165.600
      0.0,     20000.0,     48.0,         12021.1,           0.0,        3724.6,     20.7360,         172.800
      0.0,     20000.0,     50.0,         12522.0,           0.0,        3959.8,     22.5000,         180.000
      0.0,     30000.0,     21.0,          4919.6,           0.0,        1231.8,      4.6305,          81.900
      0.0,     30000.0,     22.0,          5153.8,           0.0,        1320.8,      5.0820,          85.800
      0.0,     30000.0,     24.0,          5622.4,           0.0,        1505.0,      6.0480,          93.600
      0.0,     30000.0,     26.0,          6090.9,           0.0,        1697.0,      7.0980,         101.400
      0.0,     30000.0,     30.0,          7027.9,           0.0,        2103.3,      9.4500,         117.000
      0.0,     30000.0,     34.0,          7965.0,           0.0,        2537.6,     12.1380,         132.600
      0.0,     30000.0,     38.0,          8902.1,           0.0,        2998.4,     15.1620,         148.200
      0.0,     30000.0,     42.0,          9839.1,           0.0,        3484.0,     18.5220,         163.800
      0.0,     30000.0,     46.0,         10776.2,           0.0,        3993.4,     22.2180,         179.400
      0.0,     30000.0,     48.0,         11244.7,           0.0,        4256.7,     24.1920,         187.200
      0.0,     30000.0,     50.0,         11713.2,           0.0,        4525.5,     26.2500,         195.000
      0.0,     37000.0,     21.0,          4667.1,           0.0,        1339.6,      5.0935,          86.310
      0.0,     37000.0,     22.0,          4889.3,           0.0,        1436.4,      5.5902,          90.420
      0.0,     37000.0,     24.0,          5333.8,           0.0,        1636.7,      6.6528,          98.640
      0.0,     37000.0,     26.0,          5778.3,           0.0,        1845.4,      7.8078,         106.860
      0.0,     37000.0,     30.0,          6667.3,           0.0,        2287.3,     10.3950,         123.300
      0.0,     37000.0,     34.0,          7556.3,           0.0,        2759.7,     13.3518,         139.740
      0.0,     37000.0,     38.0,          8445.2,           0.0,        3260.7,     16.6782,         156.180
      0.0,     37000.0,     42.0,          9334.2,           0.0,        3788.9,     20.3742,         172.620
      0.0,     37000.0,     46.0,         10223.2,           0.0,        4342.9,     24.4398,         189.060
      0.0,     37000.0,     48.0,         10667.7,           0.0,        4629.1,     26.6112,         197.280
